week,day,occupancy
1,Monday,0.030748663
1,Tuesday,0.01671123
1,Wednesday,0.056818182
1,Thursday,0.044786096
1,Friday,0.056818182
1,Saturday,0.012032086
1,Sunday,0.045454545
2,Monday,0.044786096
2,Tuesday,0.087566845
2,Wednesday,0.079545455
2,Thursday,0.092245989
2,Friday,0.103609626
2,Saturday,0.05013369
2,Sunday,0.020721925
3,Monday,0.036764706
3,Tuesday,0.028743316
3,Wednesday,0.863636364
3,Thursday,0.84157754
3,Friday,0.886363636
3,Saturday,0.648395722
3,Sunday,0.088235294
4,Monday,0.080882353
4,Tuesday,0.860962567
4,Wednesday,0.885695187
4,Thursday,0.820187166
4,Friday,0.881684492
4,Saturday,0.772058824
4,Sunday,0.130347594
5,Monday,0.177139037
5,Tuesday,0.924465241
5,Wednesday,0.918449198
5,Thursday,0.90040107
5,Friday,0.852272727
5,Saturday,0.722593583
5,Sunday,0.110294118
6,Monday,0.071524064
6,Tuesday,0.90040107
6,Wednesday,0.905080214
6,Thursday,0.888368984
6,Friday,0.85026738
6,Saturday,0.661764706
6,Sunday,0.144385027
7,Monday,0.123663102
7,Tuesday,0.805481283
7,Wednesday,0.823529412
7,Thursday,0.861631016
7,Friday,0.861631016
7,Saturday,0.689171123
7,Sunday,0.180481283
8,Monday,0.127673797
8,Tuesday,0.890374332
8,Wednesday,0.898395722
8,Thursday,0.947192513
8,Friday,0.909759358
8,Saturday,0.702540107
8,Sunday,0.161096257
9,Monday,0.121657754
9,Tuesday,1
9,Wednesday,0.917112299
9,Thursday,0.947192513
9,Friday,0.924465241
9,Saturday,0.688502674
9,Sunday,0.15040107
10,Monday,0.093582888
10,Tuesday,0.903743316
10,Wednesday,0.925802139
10,Thursday,0.960561497
10,Friday,0.860294118
10,Saturday,0.614973262
10,Sunday,0.10828877
11,Monday,0.058823529
11,Tuesday,0.059491979
11,Wednesday,0.05815508
11,Thursday,0.097593583
11,Friday,0.092245989
11,Saturday,0.108957219
11,Sunday,0.088235294
12,Monday,0.052807487
12,Tuesday,0.905748663
12,Wednesday,0.86631016
12,Thursday,0.950534759
12,Friday,0.931818182
12,Saturday,0.715240642
12,Sunday,0.255347594
13,Monday,0.135026738
13,Tuesday,0.943181818
13,Wednesday,0.972593583
13,Thursday,0.987967914
13,Friday,0.954545455
13,Saturday,0.850935829
13,Sunday,0.38368984
14,Monday,0.167112299
14,Tuesday,0.959893048
14,Wednesday,0.965240642
14,Thursday,0.953208556
14,Friday,0.936497326
14,Saturday,0.810828877
14,Sunday,0.701871658
15,Monday,0.348930481
15,Tuesday,0.987967914
15,Wednesday,0.994652406
15,Thursday,0.959893048
15,Friday,0.858957219
15,Saturday,0.660427807
15,Sunday,0.205882353
16,Monday,0.113636364
16,Tuesday,0.929144385
16,Wednesday,0.986631016
16,Thursday,0.969919786
16,Friday,0.941176471
16,Saturday,0.529411765
16,Sunday,0.136363636
17,Monday,0.147058824
17,Tuesday,0.890374332
17,Wednesday,0.887032086
17,Thursday,0.837566845
17,Friday,0.847593583
17,Saturday,0.663101604
17,Sunday,0.188502674
18,Monday,0.17513369
18,Tuesday,0.861631016
18,Wednesday,0.905748663
18,Thursday,0.897727273
18,Friday,0.939171123
18,Saturday,0.72459893
18,Sunday,0.152406417
19,Monday,0.163101604
19,Tuesday,0.542112299
19,Wednesday,0.469919786
19,Thursday,0.390374332
19,Friday,0.39973262
19,Saturday,0.471925134
19,Sunday,0.327540107
20,Monday,0.139705882
20,Tuesday,0.111631016
20,Wednesday,0.070855615
20,Thursday,0.092245989
20,Friday,0.08355615
20,Saturday,0.122326203
20,Sunday,0.09959893
