,week,day,occupancy
1,1,Monday,0.003457815
2,1,Tuesday,0.01175657
3,1,Wednesday,0.060165975
4,1,Thursday,0.084370678
5,1,Friday,0.079529737
6,1,Saturday,0.003457815
7,1,Sunday,0.020746888
8,2,Monday,0.013139696
9,2,Tuesday,0.087828492
10,2,Wednesday,0.099585062
11,2,Thursday,0.090594744
12,2,Friday,0.154910097
13,2,Saturday,0.125864454
14,2,Sunday,0.086445367
15,3,Monday,0.034578147
16,3,Tuesday,0.044951591
17,3,Wednesday,0.826417704
18,3,Thursday,0.8395574
19,3,Friday,0.89626556
20,3,Saturday,0.585753804
21,3,Sunday,0.112033195
22,4,Monday,0.085753804
23,4,Tuesday,0.846473029
24,4,Wednesday,0.847856155
25,4,Thursday,0.78769018
26,4,Friday,0.881742739
27,4,Saturday,0.618948824
28,4,Sunday,0.136929461
29,5,Monday,0.049100968
30,5,Tuesday,0.883125864
31,5,Wednesday,0.890041494
32,5,Thursday,0.869986169
33,5,Friday,0.838174274
34,5,Saturday,0.609958506
35,5,Sunday,0.073997234
36,6,Monday,0.047026279
37,6,Tuesday,0.875518672
38,6,Wednesday,0.890733057
39,6,Thursday,0.882434302
40,6,Friday,0.847856155
41,6,Saturday,0.587136929
42,6,Sunday,0.024896266
43,7,Monday,0.036652835
44,7,Tuesday,0.786307054
45,7,Wednesday,0.852005533
46,7,Thursday,0.877593361
47,7,Friday,0.845089903
48,7,Saturday,0.574688797
49,7,Sunday,0.06846473
50,8,Monday,0.147994467
51,8,Tuesday,0.862378976
52,8,Wednesday,0.876901798
53,8,Thursday,0.89142462
54,8,Friday,0.919087137
55,8,Saturday,0.649377593
56,8,Sunday,0.089903181
57,9,Monday,0.100968188
58,9,Tuesday,1
59,9,Wednesday,0.942600277
60,9,Thursday,0.926694329
61,9,Friday,0.94329184
62,9,Saturday,0.625172891
63,9,Sunday,0.071922545
64,10,Monday,0.130705394
65,10,Tuesday,0.906639004
66,10,Wednesday,0.910096819
67,10,Thursday,0.972337483
68,10,Friday,0.919087137
69,10,Saturday,0.587828492
70,10,Sunday,0.066390041
71,11,Monday,0.065006916
72,11,Tuesday,0.057399723
73,11,Wednesday,0.060857538
74,11,Thursday,0.049792531
75,11,Friday,0.044260028
76,11,Saturday,0.045643154
77,11,Sunday,0.121715076
78,12,Monday,0.073997234
79,12,Tuesday,0.893499308
80,12,Wednesday,0.875518672
81,12,Thursday,0.861687414
82,12,Friday,0.901106501
83,12,Saturday,0.643153527
84,12,Sunday,0.089903181
85,13,Monday,0.129322268
86,13,Tuesday,0.968188105
87,13,Wednesday,0.953665284
88,13,Thursday,0.897648686
89,13,Friday,0.90802213
90,13,Saturday,0.738589212
91,13,Sunday,0.35615491
92,14,Monday,0.125864454
93,14,Tuesday,0.908713693
94,14,Wednesday,0.960580913
95,14,Thursday,0.948824343
96,14,Friday,0.922544952
97,14,Saturday,0.731673582
98,14,Sunday,0.405255878
99,15,Monday,0.091286307
100,15,Tuesday,0.932226833
101,15,Wednesday,0.95988935
102,15,Thursday,0.910788382
103,15,Friday,0.885892116
104,15,Saturday,0.612033195
105,15,Sunday,0.064315353
106,16,Monday,0.047717842
107,16,Tuesday,0.876210235
108,16,Wednesday,0.998616874
109,16,Thursday,0.912171508
110,16,Friday,0.934301521
111,16,Saturday,0.576763485
112,16,Sunday,0.171507607
113,17,Monday,0.073305671
114,17,Tuesday,0.872060858
115,17,Wednesday,0.920470263
116,17,Thursday,0.870677732
117,17,Friday,0.938450899
118,17,Saturday,0.646611342
119,17,Sunday,0.421161826
120,18,Monday,0.085753804
121,18,Tuesday,0.893499308
122,18,Wednesday,0.923928077
123,18,Thursday,0.900414938
124,18,Friday,0.975795297
125,18,Saturday,0.692254495
126,18,Sunday,0.136929461
127,19,Monday,0.142461964
128,19,Tuesday,0.914937759
129,19,Wednesday,0.899031812
130,19,Thursday,0.680497925
131,19,Friday,0.742738589
132,19,Saturday,0.199170124
133,19,Sunday,0.646611342
134,20,Monday,0.159059474
135,20,Tuesday,0.106500692
136,20,Wednesday,0.157676349
137,20,Thursday,0.199170124
138,20,Friday,0.186030429
139,20,Saturday,0.152143845
140,20,Sunday,0.049792531
